Name	Description	ARN	Region	Type	RequesterPays	Documentation	Contact	ManagedBy	UpdateFrequency	License	Tags
CMAS Data Warehouse - EQUATES CONUS-1 Benchmark Data with MCIP data compressed using nc4 compression	EQUATES CONUS-1 Benchmark Data with MCIP data compressed using nc4 compression	arn:aws:s3:::cmas-equates-conus1-benchmark	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
CMAS Data Warehouse - EQUATES EPA’s Air QUAlity TimE Series Project Data	EQUATES EPA’s Air QUAlity TimE Series Project Data	arn:aws:s3:::cmas-equates	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
CMAS Data Warehouse - MCIP Input and Output Data	MCIP Input and Output Data	arn:aws:s3:::cmas-mcip	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
CMAS Data Warehouse - SMOKE 2016 Modeling Platform	SMOKE 2016 Modeling Platform	arn:aws:s3:::cmas-smoke-modeling-platform-2016	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
CMIP6 GCMs downscaled using WRF	WRF output files	arn:aws:s3:::wrf-cmip6-noversioning	us-west-2	S3 Bucket		https://dept.atmos.ucla.edu/alexhall/downscaling-cmip6	s.rahimi@ucla.edu	[UCLA Center for Climate Science](https://dept.atmos.ucla.edu/)	New downscaled results are uploaded as soon as they become available	Creative Commons Attribution-ShareAlike 4.0 International License	['aws-pds', 'agriculture', 'atmosphere', 'climate', 'earth observation', 'environmental', 'model', 'oceans', 'simulations', 'weather']
Capella Space Synthetic Aperture Radar (SAR) Open Dataset - Capella Space Open Data in COG format	Capella Space Open Data in COG format	arn:aws:s3:::capella-open-data/data/	us-west-2	S3 Bucket	False	Documentation is available under [support.capellaspace.com](https://support.cape	opendata@capellaspace.com	[Capella Space](https://www.capellaspace.com/)	New data is added quarterly.	[Capella EULA](https://www.capellaspace.com/wp-content/uploads/2021/09/EULA-Sing	['aws-pds', 'cog', 'stac', 'earth observation', 'satellite imagery', 'geospatial', 'image processing', 'computer vision', 'synthetic aperture radar']
Co-Produced Climate Data to Support California's Resilience Investments	Data catalog	arn:aws:s3:::cadcat	us-west-2	S3 Bucket		https://analytics.cal-adapt.org/data/	analytics@cal-adapt.org	Cal-Adapt Analytics Engine https://analytics.cal-adapt.org/	Infrequent, Irregular	Varies, see dataset specific metadata	['atmosphere', 'aws-pds', 'climate', 'climate model', 'earth observation', 'geoscience', 'geospatial', 'meteorological', 'simulations', 'weather', 'zarr']
Coupled Model Intercomparison Project 6 - Netcdf formatted data managed by the Earth System Grid Federation	Netcdf formatted data managed by the Earth System Grid Federation	arn:aws:s3:::esgf-world	us-east-2	S3 Bucket		https://pangeo-data.github.io/pangeo-cmip6-cloud/, https://www.wcrp-climate.org/	If you have any feedback on the CMIP6 data available on AWS please email sustain	ESGF and Pangeo	Core CMIP6 datasets are added as soon as they are available.	See [docs] (https://pangeo-data.github.io/pangeo-cmip6-cloud/licensing_citation.	['aws-pds', 'agriculture', 'atmosphere', 'climate', 'earth observation', 'environmental', 'model', 'oceans', 'simulations', 'weather']
Coupled Model Intercomparison Project 6 - Zarr formatted data	Zarr formatted data	arn:aws:s3:::cmip6-pds	us-west-2	S3 Bucket		https://pangeo-data.github.io/pangeo-cmip6-cloud/, https://www.wcrp-climate.org/	If you have any feedback on the CMIP6 data available on AWS please email sustain	ESGF and Pangeo	Core CMIP6 datasets are added as soon as they are available.	See [docs] (https://pangeo-data.github.io/pangeo-cmip6-cloud/licensing_citation.	['aws-pds', 'agriculture', 'atmosphere', 'climate', 'earth observation', 'environmental', 'model', 'oceans', 'simulations', 'weather']
Coupled Model Intercomparison Project Phase 5 (CMIP5) University of Wisconsin-Madison Probabilistic Downscaling Dataset	Data files	arn:aws:s3:::noaa-nws-uwpd-cmip5-pds	us-east-1	S3 Bucket		http://djlorenz.github.io/downscaling2/main.html	For questions about data development, quality and content, please contact Dr. Da	[NOAA](http://www.noaa.gov/)	Periodically, as new data becomes available or when corrections are implemented.	Open Data. There are no restrictions on the use of this data.	['aws-pds', 'climate', 'coastal', 'disaster response', 'environmental', 'meteorological', 'sustainability', 'oceans', 'water', 'weather']
Crowdsourced Bathymetry - Crowdsourced bathymetry data	Crowdsourced bathymetry data	arn:aws:s3:::noaa-bathymetry-pds	us-east-1	S3 Bucket		https://noaa-bathymetry-pds.s3.amazonaws.com/readme.html	mb.info@noaa.gov	[NOAA](http://www.noaa.gov/)	New data is added once a week.	There are no restrictions on the use of this data.	['aws-pds', 'earth observation', 'sustainability', 'oceans']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - 32 Year Wave Hindcast (1979-2010) for the Atlantic Coast of the United States at	32 Year Wave Hindcast (1979-2010) for the Atlantic Coast of the United States at	arn:aws:s3:::wpto-pds-us-wave/v1.0.0/Atlantic/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - 32 Year Wave Hindcast (1979-2010) for the Pacific Ocean around US state of Hawai	32 Year Wave Hindcast (1979-2010) for the Pacific Ocean around US state of Hawai	arn:aws:s3:::wpto-pds-us-wave/v1.0.0/Hawaii/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - 32 Year Wave Hindcast (1979-2010) for the West Coast of the United States at 3-h	32 Year Wave Hindcast (1979-2010) for the West Coast of the United States at 3-h	arn:aws:s3:::wpto-pds-us-wave/v1.0.0/West_Coast/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - 32 Year Wave Hindcast (1979-2010) from select virtual buoys along the Atlantic C	32 Year Wave Hindcast (1979-2010) from select virtual buoys along the Atlantic C	arn:aws:s3:::wpto-pds-us-wave/v1.0.0/virtual_buoy/Atlantic/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - 32 Year Wave Hindcast (1979-2010) from select virtual buoys along the West Coast	32 Year Wave Hindcast (1979-2010) from select virtual buoys along the West Coast	arn:aws:s3:::wpto-pds-us-wave/v1.0.0/virtual_buoy/West_Coast/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - DOE's Water Power Technology Office's Wave Hindcast datasets	DOE's Water Power Technology Office's Wave Hindcast datasets	arn:aws:s3:::wpto-pds-us-wave/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - [HSDS](https://github.com/NREL/hsds-examples) US Virtual Buoy domains	[HSDS](https://github.com/NREL/hsds-examples) US Virtual Buoy domains	arn:aws:s3:::nrel-pds-hsds/nrel/US_wave/virtual_buoy/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
DOE's Water Power Technology Office's (WPTO) US Wave dataset - [HSDS](https://github.com/NREL/hsds-examples) US Wave domains	[HSDS](https://github.com/NREL/hsds-examples) US Wave domains	arn:aws:s3:::nrel-pds-hsds/nrel/US_wave/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/blob/master/US_Wave.md	Levi.Kilcher@nrel.gov	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	https://github.com/openEDI/documentation/blob/master/US_Wave.md	['aws-pds', 'earth observation', 'energy', 'geospatial', 'meteorological', 'water', 'sustainability']
Department of Energy's Open Energy Data Initiative (OEDI) - [AlphaBuilding - Synthetic Dataset](https://lbnl-eta.github.io/AlphaBuilding-Syn	[AlphaBuilding - Synthetic Dataset](https://lbnl-eta.github.io/AlphaBuilding-Syn	arn:aws:s3:::oedi-data-lake/building_synthetic_dataset/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [BUTTER - Empirical Deep Learning Dataset](https://github.com/openEDI/documentat	[BUTTER - Empirical Deep Learning Dataset](https://github.com/openEDI/documentat	arn:aws:s3:::oedi-data-lake/butter/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [Data Catalog of the Open Energy Data Initiative (OEDI)](https://data.openei.org	[Data Catalog of the Open Energy Data Initiative (OEDI)](https://data.openei.org	arn:aws:s3:::oedi-data-lake/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [Distributed Generation Market Demand (dGen) model](https://github.com/openEDI/d	[Distributed Generation Market Demand (dGen) model](https://github.com/openEDI/d	arn:aws:s3:::oedi-data-lake/dgen/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [End-Use Load Profiles for the U.S. Building Stock](https://www.nrel.gov/buildin	[End-Use Load Profiles for the U.S. Building Stock](https://www.nrel.gov/buildin	arn:aws:s3:::oedi-data-lake/nrel-pds-building-stock/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [Lawrence Berkeley National Laboratory (LBNL) AlphaBuilding-SyntheticDataset](ht	[Lawrence Berkeley National Laboratory (LBNL) AlphaBuilding-SyntheticDataset](ht	arn:aws:s3:::oedi-data-lake/building_synthetic_dataset/A_Synthetic_Building_Operation_Dataset.h5	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [Lawrence Berkeley National Laboratory (LBNL) Tracking the Sun](https://github.c	[Lawrence Berkeley National Laboratory (LBNL) Tracking the Sun](https://github.c	arn:aws:s3:::oedi-data-lake/tracking-the-sun/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [NREL's Annual Technology Baseline (ATB)](https://atb.nrel.gov)	[NREL's Annual Technology Baseline (ATB)](https://atb.nrel.gov)	arn:aws:s3:::oedi-data-lake/ATB/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [National Renewable Energy Laboratory (NREL) PV Rooftop Database - (PVRDB)](http	[National Renewable Energy Laboratory (NREL) PV Rooftop Database - (PVRDB)](http	arn:aws:s3:::oedi-data-lake/pv-rooftop/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [National Renewable Energy Laboratory (NREL) PV Rooftop Database - Puerto Rico (	[National Renewable Energy Laboratory (NREL) PV Rooftop Database - Puerto Rico (	arn:aws:s3:::oedi-data-lake/pv-rooftop-pr/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [Photovoltaic Data Acquisition (PVDAQ) Public Datasets](https://data.openei.org/	[Photovoltaic Data Acquisition (PVDAQ) Public Datasets](https://data.openei.org/	arn:aws:s3:::oedi-data-lake/pvdaq/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [Synthetic Models for Advanced, Realistic Testing: Distribution systems and Scen	[Synthetic Models for Advanced, Realistic Testing: Distribution systems and Scen	arn:aws:s3:::oedi-data-lake/SMART-DS/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Department of Energy's Open Energy Data Initiative (OEDI) - [University of Miami Coupled Model (UMCM) for Hurricanes Ike and Sandy](https://	[University of Miami Coupled Model (UMCM) for Hurricanes Ike and Sandy](https://	arn:aws:s3:::oedi-data-lake/umcm/	us-west-2	S3 Bucket		https://github.com/openEDI/documentation/	https://github.com/openEDI/documentation/issues	[National Renewable Energy Laboratory](https://www.nrel.gov/)	As needed	Creative Commons Attribution 3.0 United States License	['aws-pds', 'energy', 'environmental', 'sustainability', 'geospatial', 'model', 'solar', 'lidar']
Digital Earth Africa ALOS PALSAR, ALOS-2 PALSAR-2 and JERS-1 - ALOS PALSAR ALOS-2 PALSAR-2 data	ALOS PALSAR ALOS-2 PALSAR-2 data	arn:aws:s3:::deafrica-input-datasets/alos_palsar_mosaic	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/ALOS_PALSAR_annual_mosa	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	As available, generally annually.	Data is available for free under the [terms of use](https://earth.jaxa.jp/policy	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'synthetic aperture radar', 'deafrica', 'stac', 'cog']
Digital Earth Africa CHIRPS Rainfall - CHIRPS daily rainfall	CHIRPS daily rainfall	arn:aws:s3:::deafrica-input-datasets/rainfall_chirps_daily	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/CHIRPS_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	Monthly.	To the extent possible under the law, Pete Peterson has waived all copyright and	['aws-pds', 'agriculture', 'climate', 'earth observation', 'food security', 'geospatial', 'meteorological', 'satellite imagery', 'sustainability', 'deafrica', 'stac', 'cog']
Digital Earth Africa CHIRPS Rainfall - CHIRPS monthly rainfall	CHIRPS monthly rainfall	arn:aws:s3:::deafrica-input-datasets/rainfall_chirps_monthly	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/CHIRPS_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	Monthly.	To the extent possible under the law, Pete Peterson has waived all copyright and	['aws-pds', 'agriculture', 'climate', 'earth observation', 'food security', 'geospatial', 'meteorological', 'satellite imagery', 'sustainability', 'deafrica', 'stac', 'cog']
Digital Earth Africa Cropland Extent Map (2019) - Cropland extent map 2019	Cropland extent map 2019	arn:aws:s3:::deafrica-services/crop_mask	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Cropland_extent_specs.h	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	To be defined.	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'earth observation', 'food security', 'geospatial', 'satellite imagery', 'sustainability', 'deafrica', 'stac', 'cog']
Digital Earth Africa Fractional Cover - Fractional Cover Annual Summary data	Fractional Cover Annual Summary data	arn:aws:s3:::deafrica-services/fc_ls_summary_annual	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Fractional_Cover_specs.	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New scene-level data is added as new Landsat data is available. New summaries ar	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'disaster response', 'earth observation', 'geospatial', 'natural resource', 'satellite imagery', 'sustainability', 'deafrica', 'stac', 'cog']
Digital Earth Africa Fractional Cover - Fractional Cover data	Fractional Cover data	arn:aws:s3:::deafrica-services/fc_ls	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/Fractional_Cover_specs.	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	New scene-level data is added as new Landsat data is available. New summaries ar	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'disaster response', 'earth observation', 'geospatial', 'natural resource', 'satellite imagery', 'sustainability', 'deafrica', 'stac', 'cog']
Digital Earth Africa GeoMAD - Landsat 5 and 7 GeoMAD (Annual) data	Landsat 5 and 7 GeoMAD (Annual) data	arn:aws:s3:::deafrica-services/gm_ls5_ls7_annual	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/GeoMAD_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	GeoMADs for Sentinel-2 and Landsat are updated as their respective time periods 	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'deafrica', 'stac', 'cog']
Digital Earth Africa GeoMAD - Landsat 8 GeoMAD (Annual) data	Landsat 8 GeoMAD (Annual) data	arn:aws:s3:::deafrica-services/gm_ls8_annual	af-south-1	S3 Bucket	False	https://docs.digitalearthafrica.org/en/latest/data_specs/GeoMAD_specs.html	helpdesk@digitalearthafrica.org	[Digital Earth Africa](https://www.digitalearthafrica.org/)	GeoMADs for Sentinel-2 and Landsat are updated as their respective time periods 	DE Africa makes this data available under the Creative Commons Attribute 4.0 lic	['aws-pds', 'agriculture', 'earth observation', 'satellite imagery', 'geospatial', 'natural resource', 'sustainability', 'disaster response', 'deafrica', 'stac', 'cog']
